,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
20250102135200,1735797120000,260.65000000000003,260.87,260.53000000000003,260.54,1114,29036649.0,0.0,13,260.66,0
20250102135300,1735797180000,260.54,260.90000000000003,260.53000000000003,260.84000000000003,712,18574877.0,0.0,13,260.54,0
20250102135400,1735797240000,260.85999999999996,260.96,260.65,260.77,509,13271276.0,0.0,13,260.84,0
20250102135500,1735797300000,260.76,261.11,260.61,260.66,872,22742079.0,0.0,13,260.77000000000004,0
20250102135600,1735797360000,260.63,260.96,260.52,260.57,975,25419914.0,0.0,13,260.65999999999997,0
20250102135700,1735797420000,260.56,260.67,260.06,260.23,1340,34865340.0,0.0,13,260.57,0
20250102135800,1735797480000,260.32,260.9,260.32,260.83,830,21649772.0,0.0,13,260.23,0
20250102135900,1735797540000,260.98,261.08000000000004,260.73,261.0,809,21091940.0,0.0,13,260.83000000000004,0
20250102140000,1735797600000,260.88,261.44,260.83,261.26,903,23570315.999999996,0.0,13,261.0,0
20250102140100,1735797660000,261.45000000000005,261.45000000000005,260.66,260.67,1040,27131633.000000004,0.0,13,261.26000000000005,0
20250102140200,1735797720000,260.78,260.96,260.5,260.5,822,21434267.0,0.0,13,260.67,0
20250102140300,1735797780000,260.6,261.04,260.6,260.87,558,14552554.0,0.0,13,260.5,0
20250102140400,1735797840000,261.25,261.28999999999996,260.71,260.72999999999996,738,19263075.0,0.0,13,260.87,0
20250102140500,1735797900000,260.74,261.44,260.74,261.40000000000003,462,12062107.0,0.0,13,260.73,0
20250102140600,1735797960000,261.5,261.5,260.52,260.78,631,16464172.0,0.0,13,261.4,0
20250102140700,1735798020000,260.74,261.03000000000003,260.74,260.88,458,11949660.0,0.0,13,260.78000000000003,0
20250102140800,1735798080000,260.88,261.18,260.79,260.87,548,14311188.0,0.0,13,260.88,0
20250102140900,1735798140000,260.8,260.88,260.7,260.74,523,13639561.0,0.0,13,260.87,0
20250102141000,1735798200000,260.72999999999996,260.85999999999996,260.52,260.53999999999996,610,15903284.000000002,0.0,13,260.74,0
20250102141100,1735798260000,260.57,260.59000000000003,260.37,260.43,791,20603720.0,0.0,13,260.54,0
20250102141200,1735798320000,260.43,260.43,260.11,260.16,686,17852524.000000004,0.0,13,260.43,0
20250102141300,1735798380000,260.18,260.39,260.12,260.14,893,23238030.0,0.0,13,260.16,0
20250102141400,1735798440000,260.15,260.53,260.08,260.52,1308,34034961.0,0.0,13,260.14,0
20250102141500,1735798500000,260.49,260.49,260.04,260.06,834,21695559.0,0.0,13,260.52000000000004,0
20250102141600,1735798560000,260.12,260.19,259.86,259.86,2635,68504228.00000001,0.0,13,260.06,0
20250102141700,1735798620000,259.84000000000003,260.00000000000006,259.84000000000003,259.99,840,21844319.0,0.0,13,259.86,0
20250102141800,1735798680000,259.96,259.99,259.68,259.73,642,16683143.0,0.0,13,259.99,0
20250102141900,1735798740000,259.79,260.0,259.69,259.9,1038,26979069.000000004,0.0,13,259.73,0
20250102142000,1735798800000,259.95000000000005,259.98,259.53000000000003,259.69000000000005,990,25711235.0,0.0,13,259.90000000000003,0
20250102142100,1735798860000,259.71999999999997,259.96999999999997,259.71,259.82,435,11300941.000000002,0.0,13,259.69,0
20250102142200,1735798920000,259.73,259.74,259.09000000000003,259.12,1335,34617287.0,0.0,13,259.82000000000005,0
20250102142300,1735798980000,259.16,259.76,259.12,259.76,962,24942035.000000004,0.0,13,259.12,0
20250102142400,1735799040000,259.47,259.95000000000005,259.47,259.91,861,22368547.999999996,0.0,13,259.76000000000005,0
20250102142500,1735799100000,259.84999999999997,260.10999999999996,259.65,259.7,1122,29174503.000000004,0.0,13,259.90999999999997,0
20250102142600,1735799160000,259.87,259.88,259.64,259.88,599,15567018.0,0.0,13,259.7,0
20250102142700,1735799220000,259.89,260.03000000000003,259.81,259.98,640,16634226.000000002,0.0,13,259.88,0
20250102142800,1735799280000,259.96999999999997,260.19,259.7,260.18,666,17298751.0,0.0,13,259.97999999999996,0
20250102142900,1735799340000,260.41,260.85,260.35,260.67,708,18451335.0,0.0,13,260.18,0
20250102143000,1735799400000,260.6,260.6,260.12,260.29,646,16812530.0,0.0,13,260.67,0
20250102143100,1735799460000,260.28,260.28,259.71,259.96999999999997,844,21940987.999999996,0.0,13,260.28999999999996,0
20250102143200,1735799520000,259.99,259.99,259.82,259.83,323,8394669.0,0.0,13,259.96999999999997,0
20250102143300,1735799580000,259.83000000000004,259.83000000000004,259.47,259.69000000000005,920,23890669.000000004,0.0,13,259.83000000000004,0
20250102143400,1735799640000,259.52,259.53,259.4,259.52,1724,44724488.00000001,0.0,13,259.69,0
20250102143500,1735799700000,259.65000000000003,259.65000000000003,259.28000000000003,259.35,961,24923703.999999996,0.0,13,259.52000000000004,0
20250102143600,1735799760000,259.35,259.35,259.05,259.12,788,20420488.0,0.0,13,259.35,0
20250102143700,1735799820000,259.01,259.01,258.71,258.71,2048,53027390.0,0.0,13,259.12,0
20250102143800,1735799880000,258.72,258.88,258.67,258.75,1253,32436594.000000004,0.0,13,258.71000000000004,0
20250102143900,1735799940000,258.81,258.81,258.52,258.59999999999997,1053,27215533.0,0.0,13,258.75,0
20250102144000,1735800000000,258.6,258.82,258.5,258.51,1475,38146318.0,0.0,13,258.6,0
20250102144100,1735800060000,258.50000000000006,258.51000000000005,258.34000000000003,258.43,1581,40863038.0,0.0,13,258.51000000000005,0
20250102144200,1735800120000,258.46000000000004,258.46000000000004,258.11,258.18,1677,43306357.0,0.0,13,258.43,0
20250102144300,1735800180000,258.18,258.47,258.17,258.2,1154,29811737.000000004,0.0,13,258.18,0
20250102144400,1735800240000,258.23,258.27,258.01,258.25,1697,43802334.0,0.0,13,258.2,0
20250102144500,1735800300000,258.25,258.25,258.0,258.02,3591,92666844.00000001,0.0,13,258.25,0
20250102144600,1735800360000,258.0,258.02000000000004,257.54,257.61,2880,74271983.0,0.0,13,258.02000000000004,0
20250102144700,1735800420000,257.59,257.71999999999997,257.38,257.44,2129,54827035.99999999,0.0,13,257.61,0
20250102144800,1735800480000,257.44,257.44,257.0,257.12,2518,64776179.0,0.0,13,257.44,0
20250102144900,1735800540000,257.23999999999995,257.65,257.21,257.5,1489,38303548.0,0.0,13,257.12,0
20250102145000,1735800600000,257.58,257.98,257.57,257.84,1264,32582571.000000004,0.0,13,257.5,0
20250102145100,1735800660000,257.85999999999996,258.46999999999997,257.77,258.46999999999997,1087,28060073.0,0.0,13,257.84,0
20250102145200,1735800720000,258.26,258.37,258.0,258.05,1360,35093366.0,0.0,13,258.47,0
20250102145300,1735800780000,258.05,258.65000000000003,258.05,258.65000000000003,1262,32619971.000000004,0.0,13,258.05,0
20250102145400,1735800840000,258.5,259.2,258.5,259.11,1188,30759077.000000004,0.0,13,258.65,0
20250102145500,1735800900000,259.14,259.42,259.0,259.37,1392,36091136.0,0.0,13,259.11,0
20250102145600,1735800960000,259.14,259.28999999999996,258.89,258.90999999999997,1247,32293286.0,0.0,13,259.37,0
20250102145700,1735801020000,258.99,258.99,258.7,258.7,1110,28739995.0,0.0,13,258.90999999999997,0
20250102145800,1735801080000,258.8,258.8,258.8,258.8,23,595147.0000000001,0.0,18,258.7,0
20250102145900,1735801140000,258.8,258.8,258.8,258.8,0,0.0,0.0,18,258.8,0
20250102150000,1735801200000,258.78000000000003,258.78000000000003,258.78000000000003,258.78000000000003,1934,50043911.0,0.0,15,258.8,0
20250103093000,1735867800000,258.78000000000003,258.78000000000003,258.78000000000003,258.78000000000003,1189,30763507.000000004,0.0,14,258.78000000000003,0
20250103093100,1735867860000,258.94,259.56,257.21,259.29999999999995,4611,119222054.0,0.0,13,258.78,0
